id,title,body,notification_priority
1,फाइभजी मा प्रधानमन्त्रीको नयाँ कदम,नेपाल को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
2,नेपाल मा प्रधानमन्त्रीको नयाँ कदम,क्रिकेट को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
3,चीन फाइनल खेलको तयारी,ओलम्पिक प्रतियोगितामा नेपालको ऐतिहासिक प्रदर्शन।,0
4,चीन सम्बन्धमा नयाँ मस्यौदा,नेपाल को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,1
5,एआई ले नयाँ उपकरण सार्वजनिक गर्‍यो,ओलम्पिक मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,0
6,भारत ले नयाँ उपकरण सार्वजनिक गर्‍यो,ओलम्पिक मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,1
7,चीन नेटवर्कको सुरुवात,एआई को सुरुवातले भविष्यमा गति थप्नेछ।,1
8,एआई फाइनल खेलको तयारी,फाइभजी खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
9,भारत मा प्रधानमन्त्रीको नयाँ कदम,फाइभजी को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
10,ओलम्पिक प्रविधिको नयाँ प्रयोग,चीन ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
11,चीन फाइनल खेलको तयारी,क्रिकेट खेलले दर्शकको ध्यान तानेको छ।,0
12,नेपाल सम्बन्धमा नयाँ मस्यौदा,भारत को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,1
13,नेपाल ले नयाँ उपकरण सार्वजनिक गर्‍यो,एआई ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
14,चीन प्रविधिको नयाँ प्रयोग,चीन को सुरुवातले भविष्यमा गति थप्नेछ।,0
15,क्रिकेट मा नेपालको ऐतिहासिक जीत,भारत खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,1
16,चीन खेलाडीले स्वर्ण जिते,नेपाल खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,1
17,फाइभजी खेलाडीले स्वर्ण जिते,फाइभजी खेलले दर्शकको ध्यान तानेको छ।,0
18,ओलम्पिक सम्बन्धमा नयाँ मस्यौदा,ओलम्पिक को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
19,एआई संसद् बैठक स्थगित,ओलम्पिक को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
20,भारत मा प्रधानमन्त्रीको नयाँ कदम,चीन को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
21,ओलम्पिक ले नयाँ उपकरण सार्वजनिक गर्‍यो,चीन ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
22,चीन संसद् बैठक स्थगित,भारत को निर्णयले व्यापक प्रतिक्रिया ल्याएको छ।,0
23,ओलम्पिक नेटवर्कको सुरुवात,भारत को सुरुवातले भविष्यमा गति थप्नेछ।,0
24,फाइभजी प्रविधिको नयाँ प्रयोग,ओलम्पिक मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,1
25,ओलम्पिक संसद् बैठक स्थगित,क्रिकेट सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,1
26,भारत खेलाडीले स्वर्ण जिते,चीन खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
27,ओलम्पिक नेटवर्कको सुरुवात,क्रिकेट को सुरुवातले भविष्यमा गति थप्नेछ।,0
28,भारत प्रविधिको नयाँ प्रयोग,ओलम्पिक ले नयाँ उत्पादले बजारलाई चकित पारेको छ।,0
29,चीन मा प्रधानमन्त्रीको नयाँ कदम,भारत सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
30,ओलम्पिक मा प्रधानमन्त्रीको नयाँ कदम,क्रिकेट को भ्रमणले आर्थिक विकासको नयाँ ढोका खोल्ने अपेक्षा गरिएको छ।,0
31,नेपाल प्रविधिको नयाँ प्रयोग,नेपाल मा एआई प्रविधिको प्रयोगले सुधार ल्याउने अपेक्षा।,1
32,ओलम्पिक मा नेपालको ऐतिहासिक जीत,ओलम्पिक खेलाडीको मेहनतले स्वर्ण पदक नेपाललाई दिलायो।,0
33,क्रिकेट सम्बन्धमा नयाँ मस्यौदा,ओलम्पिक सम्बन्धमा सरकारको तर्फबाट चासो व्यक्त।,0
